1,Sinfonia
2,"No. 1 Duettino: “Cinque, dieci, venti, trenta” (Figaro, Susanna)"
3,"Recitativo: “Cosa stai misurando” (Susanna, Figaro)"
4,"No. 2 Duettino: “Se a caso madama” (Figaro, Susanna)"
5,"Recitativo: “Or bene, ascolta, e taci” (Susanna, Figaro)"
6,"Recitativo: “Bravo, signore padrone” (Figaro)"
7,"No. 3 Cavatina: “Se vuol ballare, signor Contino” (Figaro)"
8,"Rectativo: “Ed aspettaste il giorno” (Bartolo, Marcellina)"
9,"No. 4 Aria: “La vendetta, oh la vendetta” (Bartolo)"
10,"Recitativo: “Tutto ancor non ho perso” (Marcellina, Susanna)"
11,"No. 5 Duettino: “Via, resti servita” (Marcellina, Susanna)"
12,"Recitativo: “Va’ là, vecchia pedante” (Susanna,  Cherubino)"
13,"No. 6 Aria: “Non so più cosa son, cosa faccio” (Cherubino)"
14,"Recitativo: “Ah, son perduto!” (Cherubino, Susanna, Conte, Basilio)"
15,"No. 7 Terzetto: “Cosa sento! Tosto andate” (Conte, Basilio, Susanna)"
16,"Recitativo: “Basilio, in traccia tosto di Figaro” (Conte, Susanna, Cherubino, Basilio)"
17,"No. 8 Coro: “Giovanni liete, fiori spargete” (Coro)"
18,"Recitativo: “Cos’é questa commedia?” (Conte, Figaro, Susanna, Coro)"
19,"No. 9 Coro: “Giovanni liete, fiori spargete” (Coro)"
20,"Recitativo: “Evviva!” (Figaro, Susanna, Basilio, Cherubino, Conte)"
21,"No. 10 Aria: “Non più andrai, farfallone amoroso” (Figaro)"
22,"No. 11 Cavatina: “Porgi, amor, qualche ristoro” (Contessa)"
23,"Recitativo: “Vieni, cara Susanna” (Contessa, Susanna, Figaro)"
24,"Recitativo: “Quanti duolmi, Susanna” (Contessa, Susanna, Cherubino)"
25,No. 12 Arietta: “Voi che sapete che cosa è amor” (Cherubino)
26,"Recitativo: “Bravo! Che bella voce!” (Contessa, Susanna, Cherubino)"
27,"No. 13 Aria: “Venite, inginocchiatevi” (Susanna)"
28,"Recitativo: “Quanto buffonerie!” (Contessa, Susanna, Cherubino, Conte)"
29,"Recitativo: “Che novità!” (Conte, Contessa)"
30,"No. 14 Terzetto: “Susanna, or via, sortite!” (Conte, Contessa, Susanna)"
31,"Recitativo: “Dunque, voi non aprite?” (Conte, Contessa)"
32,"No. 15 Duettino: “Aprite, presto, aprite” (Susanna, Cherubino)"
33,Recitativo: “Oh guarda il demonietto!” (Susanna)
34,"Recitativo: “Tutto è come il lasciai” (Conte, Contessa)"
35,"No. 16 Finale: “Esci, omai, garzon malnato” (Conte, Contessa, Susanna)"
36,"“Signori, di fuori son già suonatori” (Figaro, Conte, Susanna, Contessa)"
37,"“Ah, signor, signor!” (Antonio, Conte, Susanna, Contessa, Figaro)"
38,"“Voi signor, che giusto siete” (Marcellina, Basilio, Bartolo, Conte, Contessa, Figaro, Susanna)"
